Title,SKU,specs.wheel_sizes,specs.width_min,specs.width_max,specs.diameter_min,specs.diameter_max,specs.valve_type,specs.valve_length,specs.item_number,specs.execution,specs.material
"Teravail tube 16 x 1 3/8in, Schrader, Not for Brompton","Q tube 16 x 1 3/8in",,,,,,,,,,
"Schwalbe AV1 12"" Tube, Schrader Valve 40mm","TU-SH-AV1",,,,,,,,,,
"Schwalbe AV12 650A 650B 650C Tube, Schrader Valve 40mm","10423340",,,,,,,,,,
"Schwalbe AV10 24"" Tube, Schrader Valve 40mm","10421310",,,,,,,,,,
"Schwalbe AV12A 26"" Tube, Schrader Valve 40mm","10432340",,,,,,,,,,
"Schwalbe AV15 700C 28"" Tube, Schrader Valve 40mm","10427340",,,,,,,,,,
"Schwalbe AV19 650B 700C 28"" Tube, Schrader Valve 40mm","10430340",,,,,,,,,,
"Schwalbe AV13 26"" Tube, Schrader Valve 40mm","10425340",,,,,,,,,,
"Schwalbe AV2 14"" 16"" Tube, Schrader Valve 40mm","10407310",,,,,,,,,,
"Schwalbe AV3 16"" Tube, Schrader Valve 40mm","10409310",,,,,,,,,,
"Schwalbe AV4 16"" 18"" Tube, Schrader Valve 40mm","10410310",,,,,,,,,,
"Schwalbe AV7 20"" Tube, Schrader Valve 40mm","10415310",,,,,,,,,,
"Schwalbe AV6 20"" Tube, Schrader Valve 40mm","10413310",,,,,,,,,,
"Schwalbe AV7A 20"" Tube, Schrader Valve 40mm","10416310",,,,,,,,,,
"Schwalbe AV9 24"" Tube, Schrader Valve 40mm","10419310",,,,,,,,,,
"Schwalbe AV8 22"" Tube, Schrader Valve 40mm","10417310",,,,,,,,,,
"Schwalbe AV17 700C 28"" Tube, Schrader Valve 40mm","10429340",,,,,,,,,,
"Schwalbe SV6 20"" Tube, Presta Valve 40mm","10413313",,,,,,,,,,
"Schwalbe SV10 24"" Tube, Presta Valve 40mm","10421313",,,,,,,,,,
"Schwalbe SV12A 26"" Tube, Presta Valve 40mm","10432343",,,,,,,,,,
"Schwalbe SV13 26"" Tube, Presta Valve 40mm","4026495099240",,,,,,,,,,
"Schwalbe SV15 700C 28"" Tube, Presta Valve 40mm","10427343",,,,,,,,,,
"Schwalbe SV16 700C 28"" Tube, Presta Valve 40mm","10431343",,,,,,,,,,
"Schwalbe SV17 700C 28"" Tube, Presta Valve 40mm","10429343",,,,,,,,,,
"Schwalbe SV17 Tube, 700C or 28-inch, 60mm XL Valve, Presta Valve","TU-SH-SV17 xtra long valve",,,,,,,,,,
"Schwalbe SV21 650B 27.5"" Tube, Presta Valve 40mm","10400153",,,,,,,,,,
"Schwalbe SV4 Tube 16"" 18"", Presta Valve 40mm","10410313",,,,,,,,,,
"Schwalbe SV7 20"" Tube, Presta Valve 40mm","10415313",,,,,,,,,,
"Schwalbe SV7A 20"" Tube, Presta Valve 40mm","10416313",,,,,,,,,,
"Schwalbe SV9 24"" Tube, Presta Valve 40mm","10419313",,,,,,,,,,
"Schwalbe SV12 26"" Tube, Presta Valve 40mm","10423343",,,,,,,,,,
"Schwalbe SV19 700C 28"" Tube, Presta Valve 40mm - Boxed","10430343",,,,,,,,,,
"Schwalbe SV14 26"" Tube, Extralight, Presta Valve 40mm","10424343",,,,,,,,,,
"Continental Tube 27.5 x 1.75-2.5 - Presta","1823110000",,,,,,,,,,
"Tannus Armour Tire Insert","TA2017",,,,,,,,,,
"Schwable SV1 Tube, Presta Valve","10405313",,,,,,,,,,
"Schwalbe AV1 12"" 45 Degree Tube, Schrader Valve 40mm Angled","10405320.01",,,,,,,,,,
"Schwalbe AV2A 14"" Tube, Schrader Valve 40mm","10407510",,,,,,,,,,
"Schwalbe AV3B 16"" Tube, Light Weight, Schrader Valve 40mm","10400180",,,,,,,,,,
"Schwalbe AV3B 16"" Tube, Schrader Valve 40mm","10461860",,,,,,,,,,
"Schwalbe SV3 16"" Tube, Presta Valve 40mm","10409313",,,,,,,,,,
"Schwalbe SV5A 18"" Tube, Presta Valve 40mm","10412513",,,,,,,,,,
"Schwalbe SV6A 20"" Tube, Extralight, Presta Valve 40mm","10414393",,,,,,,,,,
"Schwalbe AV7C 20"" Tube, Extralight, Schrader Valve 40mm","10415710",,,,,,,,,,
"Schwalbe SV7C 20"" Tube, Extralight, Presta Valve 40mm","10415713",,,,,,,,,,
"Schwalbe AV7AP 20"" Tube, Air Plus, Schrader Valve 40mm","10461560",,,,,,,,,,
"Schwalbe SV7AP 20"" Tube, Air Plus, Presta Valve 40mm","10461383",,,,,,,,,,
"Schwalbe SV7B 20"" Tube, Presta Valve 40mm","10400013",,,,,,,,,,
"Schwalbe AV7B 20"" Tube, Schrader Valve 40mm","10416290",,,,,,,,,,
"Schwalbe SV10AP 24"" Tube, Air Plus, Presta Valve 40mm","10461873",,,,,,,,,,
"Schwalbe AV10AP 24"" Tube, Air Plus, Schrader Valve 40mm","10461770",,,,,,,,,,
"Schwalbe AV10D 24"" Tube, Downhill Weight, Schrader Valve 40mm","10420740",,,,,,,,,,
"Schwalbe SV9C 24"" Tube, Presta Valve 40mm","10418343",,,,,,,,,,
"Schwalbe AV14 26"" Tube, Extralight, Schrader Valve 40mm","10424340",,,,,,,,,,
"Schwalbe SV13 Tube 26"", Presta Valve 60mm","10425363",,,,,,,,,,
"Schwalbe AV13AP 26"" Tube, Air Plus, Schrader Valve 40mm","10461570",,,,,,,,,,
"Schwalbe SV13AP 26"" Tube, Air Plus, Presta Valve 40mm","10461393",,,,,,,,,,
"Schwalbe SV13E 26"" Tube, Aerothan, Presta Valve 40mm","10400243",,,,,,,,,,
"Schwalbe AV13D 26"" Tube, Downhill, Schrader Valve 40mm","10425740",,,,,,,,,,
"Schwalbe AV13F TR4 26"" Tube, Downhill, Schrader Valve 40mm","10425790",,,,,,,,,,
"Schwalbe SV13F 26"" Tube, Freeride Lightweight, Presta Valve 40mm","10425793",,,,,,,,,,
"Schwalbe SV13J 26"" Tube, Presta Valve 40mm","10400193.01",,,,,,,,,,
"Schwalbe AV21AP 650B 27.5"" Tube, Air Plus, Schrader Valve 40mm","10461580",,,,,,,,,,
"Schwalbe SV21AP 650B 27.5"" Tube, Air Plus, Presta Valve 40mm","10461403",,,,,,,,,,
"Schwalbe SV21A 650B 27.5"" Tube, Extralight, Presta Valve 40mm","10400163",,,,,,,,,,
"Schwalbe 21E Tube, Aerothan, Presta Valve","10400253",,,,,,,,,,
"Schwalbe AV21+AP 650B 27.5"" Tube, Air Plus, Schrader Valve 40mm","10461590",,,,,,,,,,
"Schwalbe SV21F 650B 27.5"" Tube, Freeride, Presta Valve 40mm","10400073",,,,,,,,,,
"Schwalbe AV21F 27.5"" Tube, Freeride, Schrader Valve 40mm","10400030",,,,,,,,,,
"Schwalbe SV20E 700C 28"" Tube, Aerothan, Presta Valve 80mm","10461643",,,,,,,,,,
"Schwalbe SV21FE 650B 27.5"" Tube, Aerothan, Presta Valve 40mm","10400383",,,,,,,,,,
"Schwalbe AV7D 20"" Tube, Downhill Weight, Schrader Valve 40mm","10415740",,,,,,,,,,
"Schwalbe AV21 650B 27.5"" Tube, Schrader Valve 40mm","10400050",,,,,,,,,,
"Schwalbe SV20E 700C 28"" Tube, Aerothan, Presta Valve 60mm","10461693",,,,,,,,,,
"Schwalbe SV19AP 700C 28"" 29"" Tube, Air Plus, Presta Valve 40mm","10461433",,,,,,,,,,
"Schwalbe SV18 700C 28"" Tube, Extralight, Presta Valve 40mm","10428343",,,,,,,,,,
"Schwalbe AV19+AP 29"" Tube, Air Plus, Schrader Valve 40mm","10461620",,,,,,,,,,
"Schwalbe SV19+AP 29"" Tube, Air Plus, Presta Valve 40mm","10461443",,,,,,,,,,
"Schwalbe SV2 14"" 16"" Tube, Presta Valve 40mm","10407313",,,,,,,,,,
"Schwalbe SV5 18"" Tube, Presta Valve 40mm","10412313",,,,,,,,,,
"Schwalbe AV5 18"" Tube, Schrader Valve 40mm","10412310",,,,,,,,,,
"Schwalbe SV8 22"" Tube, Presta Valve 40mm","10417313",,,,,,,,,,
"Schwalbe AV8A 22"" Tube, Schrader Valve 40mm","10417240",,,,,,,,,,
"Schwalbe SV9A 24"" Tube, Presta Valve 40mm","10419213",,,,,,,,,,
"Schwalbe SV11A 26"" Tube, Presta Valve 40mm","",,,,,,,,,,
"Schwalbe AV11A 26"" Tube, Schrader Valve 40mm","10422240",,,,,,,,,,
"Schwalbe SV11 26"" Tube, Extralight, Presta Valve 60 mm","10422313",,,,,,,,,,
"Schwalbe SV11 26"" Tube, Extralight, Presta Valve 60mm","10422363",,,,,,,,,,
"Schwalbe AV11 650B 26"" Tube, Extralight, Schrader Valve 40mm","10422310",,,,,,,,,,
"Schwalbe AV12B 26"" Tube, Schrader Valve 40mm","4026495613552",,,,,,,,,,
"Schwalbe SV12B 650B 26"" Tube, Presta Valve 40mm","10423223",,,,,,,,,,
"Schwalbe SV19E 29"" Tube, Aerothan, Presta Valve 40mm","10400263",,,,,,,,,,
"Schwalbe SV19A 650B 700C 27.5"" 28"" 29"" Tube, Extralight, Presta Valve 40mm","10430943",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta Valve 60 mm","10461703",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta 80 mm","10461653",,,,,,,,,,
"Schwalbe SV16E 700C 28"" Tube, Aerothan, Presta Valve 40mm","10400423",,,,,,,,,,
"Schwalbe SV17E 700C 28"" Tube, Aerothan, Presta 60 mm","10461803",,,,,,,,,,
"Schwalbe SV17E Tube 700C 28"", Aerothan, Presta Valve 40mm","10461373",,,,,,,,,,
"Schwalbe SV19FE 29"" Tube, Aerothan, Presta Valve 40mm","10461173",,,,,,,,,,
"Schwalbe SV20 700C 28"" Tube, Extralight, Presta Valve 60mm","10426363",,,,,,,,,,
